id,by,author,time,time_ts,text,parent,deleted,dead,ranking
6009889,,,1373323805,2013-07-08 22:50:05.000000 UTC,,6009264,true,,0
1325641,,,1273178211,2010-05-06 20:36:51.000000 UTC,,1325632,true,,0
9736991,,,1434605733,2015-06-18 05:35:33.000000 UTC,,9736952,true,,0
785938,,,1251236118,2009-08-25 21:35:18.000000 UTC,,785922,true,,0
6930763,,,1387400905,2013-12-18 21:08:25.000000 UTC,,6930494,true,,0
8326901,,,1410899200,2014-09-16 20:26:40.000000 UTC,,8326800,true,,0
9638768,,,1433168825,2015-06-01 14:27:05.000000 UTC,,9638704,true,,0
7215393,,,1392086672,2014-02-11 02:44:32.000000 UTC,,7215345,true,,0
7486969,,,1396012481,2014-03-28 13:14:41.000000 UTC,,7486928,true,,0
1432989,,,1276615621,2010-06-15 15:27:01.000000 UTC,,1431909,true,,0
940952,,,1258150805,2009-11-13 22:20:05.000000 UTC,,939947,true,,0
7512175,,,1396391015,2014-04-01 22:23:35.000000 UTC,,7511875,true,,0
2566022,,,1305854210,2011-05-20 01:16:50.000000 UTC,,2564876,true,,0
2573046,,,1306062017,2011-05-22 11:00:17.000000 UTC,,2573014,true,,0
4401627,,,1345309998,2012-08-18 17:13:18.000000 UTC,,4400104,true,,0
1994518,,,1292058780,2010-12-11 09:13:00.000000 UTC,,1994514,true,,0
2721703,,,1309618965,2011-07-02 15:02:45.000000 UTC,,2721291,true,,0
8786413,,,1419299277,2014-12-23 01:47:57.000000 UTC,,8786381,true,,0
10335340,,,1444082671,2015-10-05 22:04:31.000000 UTC,,10334862,true,,0
1193842,,,1268681479,2010-03-15 19:31:19.000000 UTC,,1193752,true,,0
7555957,,,1396990654,2014-04-08 20:57:34.000000 UTC,,7555909,true,,0
4610253,,,1349309016,2012-10-04 00:03:36.000000 UTC,,4553651,true,,0
5663827,,,1367864332,2013-05-06 18:18:52.000000 UTC,,5663643,true,,0
9877013,,,1436777125,2015-07-13 08:45:25.000000 UTC,,9876579,true,,0
88853,,,1197494056,2007-12-12 21:14:16.000000 UTC,,88788,true,,0
6311192,,,1378056139,2013-09-01 17:22:19.000000 UTC,,6310838,true,,0
2219175,,,1297725375,2011-02-14 23:16:15.000000 UTC,,2219016,true,,0
9758698,,,1434984643,2015-06-22 14:50:43.000000 UTC,,9758637,true,,0
5919867,,,1371838034,2013-06-21 18:07:14.000000 UTC,,5919822,true,,0
314699,,,1222334147,2008-09-25 09:15:47.000000 UTC,,314357,true,,0
2663545,,,1308263276,2011-06-16 22:27:56.000000 UTC,,2663280,true,,0
9862745,,,1436514348,2015-07-10 07:45:48.000000 UTC,,9862662,true,,0
6271167,,,1377412729,2013-08-25 06:38:49.000000 UTC,,6271124,true,,0
2934799,,,1314562174,2011-08-28 20:09:34.000000 UTC,,2934484,true,,0
246761,,,1216137442,2008-07-15 15:57:22.000000 UTC,,246685,true,,0
2457619,,,1303090472,2011-04-18 01:34:32.000000 UTC,,2457618,true,,0
2739978,,,1310067261,2011-07-07 19:34:21.000000 UTC,,2739610,true,,0
1705256,,,1284854836,2010-09-19 00:07:16.000000 UTC,,1698868,true,,0
5027860,,,1357672623,2013-01-08 19:17:03.000000 UTC,,5027842,true,,0
8685103,,,1417481942,2014-12-02 00:59:02.000000 UTC,,8683170,true,,0
4019911,,,1337885621,2012-05-24 18:53:41.000000 UTC,,4019796,true,,0
4638420,,,1349906312,2012-10-10 21:58:32.000000 UTC,,4638376,true,,0
1816610,,,1287683324,2010-10-21 17:48:44.000000 UTC,,1816511,true,,0
3704496,,,1331748659,2012-03-14 18:10:59.000000 UTC,,3704442,true,,0
2950116,,,1314887106,2011-09-01 14:25:06.000000 UTC,,2950025,true,,0
3401441,,,1325107261,2011-12-28 21:21:01.000000 UTC,,3401397,true,,0
6689930,,,1383838864,2013-11-07 15:41:04.000000 UTC,,6685668,true,,0
7306140,,,1393434865,2014-02-26 17:14:25.000000 UTC,,7306038,true,,0
7745142,,,1400090578,2014-05-14 18:02:58.000000 UTC,,7745074,true,,0
7405461,,,1394906576,2014-03-15 18:02:56.000000 UTC,,7326625,true,,0
7305031,,,1393424596,2014-02-26 14:23:16.000000 UTC,,7304908,true,,0
97877,,,1200242404,2008-01-13 16:40:04.000000 UTC,,97863,true,,0
2157679,,,1296375629,2011-01-30 08:20:29.000000 UTC,,2157569,true,,0
8493602,,,1413997057,2014-10-22 16:57:37.000000 UTC,,8493441,true,,0
6321180,,,1378218786,2013-09-03 14:33:06.000000 UTC,,6321078,true,,0
6676948,,,1383676024,2013-11-05 18:27:04.000000 UTC,,6676663,true,,0
2050265,,,1293658767,2010-12-29 21:39:27.000000 UTC,,2049177,true,,0
4013364,,,1337785394,2012-05-23 15:03:14.000000 UTC,,4012866,true,,0
9571802,,,1432057316,2015-05-19 17:41:56.000000 UTC,,9571374,true,,0
5855242,,,1370879921,2013-06-10 15:58:41.000000 UTC,,5855167,true,,0
1113511,,,1265753855,2010-02-09 22:17:35.000000 UTC,,1113197,true,,0
7611367,,,1397855709,2014-04-18 21:15:09.000000 UTC,,7610786,true,,0
5769901,,,1369538717,2013-05-26 03:25:17.000000 UTC,,5769890,true,,0
4481175,,,1346875359,2012-09-05 20:02:39.000000 UTC,,4480007,true,,0
6945813,,,1387601480,2013-12-21 04:51:20.000000 UTC,,6945687,true,,0
3097540,,,1318317317,2011-10-11 07:15:17.000000 UTC,,3097519,true,,0
272736,,,1218422231,2008-08-11 02:37:11.000000 UTC,,272656,true,,0
129068,,,1204659682,2008-03-04 19:41:22.000000 UTC,,129064,true,,0
8692727,,,1417599564,2014-12-03 09:39:24.000000 UTC,,8692344,true,,0
8863532,,,1420828115,2015-01-09 18:28:35.000000 UTC,,8860700,true,,0
9284161,,,1427614453,2015-03-29 07:34:13.000000 UTC,,9284019,true,,0
3393617,,,1324926030,2011-12-26 19:00:30.000000 UTC,,3393446,true,,0
2041039,,,1293392133,2010-12-26 19:35:33.000000 UTC,,2040503,true,,0
7413650,,,1395041624,2014-03-17 07:33:44.000000 UTC,,7413082,true,,0
3938959,,,1336398847,2012-05-07 13:54:07.000000 UTC,,3937170,true,,0
2211160,,,1297545554,2011-02-12 21:19:14.000000 UTC,,2208927,true,,0
1848265,,,1288375549,2010-10-29 18:05:49.000000 UTC,,1847672,true,,0
8655659,,,1416875992,2014-11-25 00:39:52.000000 UTC,,8655558,true,,0
3308605,,,1322941793,2011-12-03 19:49:53.000000 UTC,,3308566,true,,0
9566726,,,1431981342,2015-05-18 20:35:42.000000 UTC,,9566716,true,,0
699180,,,1247321173,2009-07-11 14:06:13.000000 UTC,,699097,true,,0
7742965,,,1400061677,2014-05-14 10:01:17.000000 UTC,,7742730,true,,0
8364845,,,1411603518,2014-09-25 00:05:18.000000 UTC,,8363574,true,,0
4931351,,,1355731802,2012-12-17 08:10:02.000000 UTC,,4931264,true,,0
9228057,,,1426706661,2015-03-18 19:24:21.000000 UTC,,9224832,true,,0
1147812,,,1267014447,2010-02-24 12:27:27.000000 UTC,,1147770,true,,0
9060217,,,1424137668,2015-02-17 01:47:48.000000 UTC,,9060138,true,,0
4900071,,,1355159002,2012-12-10 17:03:22.000000 UTC,,4900056,true,,0
7125952,,,1390758600,2014-01-26 17:50:00.000000 UTC,,7125160,true,,0
7791057,,,1400875505,2014-05-23 20:05:05.000000 UTC,,7790958,true,,0
7238021,,,1392378357,2014-02-14 11:45:57.000000 UTC,,7238003,true,,0
6271744,,,1377431298,2013-08-25 11:48:18.000000 UTC,,6271677,true,,0
2690224,,,1308868869,2011-06-23 22:41:09.000000 UTC,,2689782,true,,0
5584678,,,1366548427,2013-04-21 12:47:07.000000 UTC,,5583816,true,,0
9476925,,,1430572709,2015-05-02 13:18:29.000000 UTC,,9476866,true,,0
4299401,,,1343348850,2012-07-27 00:27:30.000000 UTC,,4298909,true,,0
8375362,,,1411772880,2014-09-26 23:08:00.000000 UTC,,8375244,true,,0
8300631,,,1410403939,2014-09-11 02:52:19.000000 UTC,,8300140,true,,0
768375,,,1250525366,2009-08-17 16:09:26.000000 UTC,,768351,true,,0
7906001,,,1403029010,2014-06-17 18:16:50.000000 UTC,,7905968,true,,0
5351608,,,1362918408,2013-03-10 12:26:48.000000 UTC,,5351441,true,,0
6367819,,,1378913692,2013-09-11 15:34:52.000000 UTC,,6367662,true,,0
3588617,,,1329193857,2012-02-14 04:30:57.000000 UTC,,3588481,true,,0
8762770,,,1418832805,2014-12-17 16:13:25.000000 UTC,,8762472,true,,0
9988256,,,1438455541,2015-08-01 18:59:01.000000 UTC,,9988245,true,,0
6688107,,,1383809070,2013-11-07 07:24:30.000000 UTC,,6684027,true,,0
3937424,,,1336360633,2012-05-07 03:17:13.000000 UTC,,3935273,true,,0
8911353,,,1421665681,2015-01-19 11:08:01.000000 UTC,,8910452,true,,0
8944797,,,1422230646,2015-01-26 00:04:06.000000 UTC,,8944347,true,,0
9686305,,,1433862095,2015-06-09 15:01:35.000000 UTC,,9686014,true,,0
5926052,,,1371955408,2013-06-23 02:43:28.000000 UTC,,5925744,true,,0
6242328,,,1376985142,2013-08-20 07:52:22.000000 UTC,,6242163,true,,0
10285769,,,1443339100,2015-09-27 07:31:40.000000 UTC,,10285480,true,,0
6048633,,,1373923490,2013-07-15 21:24:50.000000 UTC,,6048357,true,,0
5931908,,,1372066627,2013-06-24 09:37:07.000000 UTC,,5931820,true,,0
5191816,,,1360388003,2013-02-09 05:33:23.000000 UTC,,5191751,true,,0
9585586,,,1432244943,2015-05-21 21:49:03.000000 UTC,,9585440,true,,0
7876750,,,1402469535,2014-06-11 06:52:15.000000 UTC,,7876463,true,,0
8540573,,,1414783065,2014-10-31 19:17:45.000000 UTC,,8540316,true,,0
3622760,,,1329949469,2012-02-22 22:24:29.000000 UTC,,3622754,true,,0
4908740,,,1355288911,2012-12-12 05:08:31.000000 UTC,,4908699,true,,0
3331287,,,1323380583,2011-12-08 21:43:03.000000 UTC,,3331149,true,,0
8348090,,,1411329709,2014-09-21 20:01:49.000000 UTC,,8345606,true,,0
3048666,,,1317227427,2011-09-28 16:30:27.000000 UTC,,3048414,true,,0
508736,,,1236621072,2009-03-09 17:51:12.000000 UTC,,508191,true,,0
1154272,,,1267221946,2010-02-26 22:05:46.000000 UTC,,1154188,true,,0
9935963,,,1437662314,2015-07-23 14:38:34.000000 UTC,,9935871,true,,0
3817969,,,1333991939,2012-04-09 17:18:59.000000 UTC,,3817932,true,,0
4935276,,,1355788720,2012-12-17 23:58:40.000000 UTC,,4935142,true,,0
6965755,,,1388050377,2013-12-26 09:32:57.000000 UTC,,6965642,true,,0
3373247,,,1324385722,2011-12-20 12:55:22.000000 UTC,,3373241,true,,0
2182787,,,1296896537,2011-02-05 09:02:17.000000 UTC,,2182683,true,,0
86272,,,1196860201,2007-12-05 13:10:01.000000 UTC,,86226,true,,0
7930853,,,1403512910,2014-06-23 08:41:50.000000 UTC,,7930815,true,,0
6919513,,,1387252200,2013-12-17 03:50:00.000000 UTC,,6917785,true,,0
8381283,,,1411950246,2014-09-29 00:24:06.000000 UTC,,8380133,true,,0
6587960,,,1382387128,2013-10-21 20:25:28.000000 UTC,,6587420,true,,0
9202635,,,1426341626,2015-03-14 14:00:26.000000 UTC,,9201911,true,,0
1704280,,,1284822104,2010-09-18 15:01:44.000000 UTC,,1704276,true,,0
1721106,,,1285271863,2010-09-23 19:57:43.000000 UTC,,1721023,true,,0
33985,,,1184311368,2007-07-13 07:22:48.000000 UTC,,33981,true,,0
4618167,,,1349463506,2012-10-05 18:58:26.000000 UTC,,4618148,true,,0
7354855,,,1394124698,2014-03-06 16:51:38.000000 UTC,,7354687,true,,0
335329,,,1224220886,2008-10-17 05:21:26.000000 UTC,,334118,true,,0
3149370,,,1319460658,2011-10-24 12:50:58.000000 UTC,,3148034,true,,0
9062664,,,1424186585,2015-02-17 15:23:05.000000 UTC,,9062657,true,,0
2015128,,,1292558993,2010-12-17 04:09:53.000000 UTC,,2015103,true,,0
5900409,,,1371574202,2013-06-18 16:50:02.000000 UTC,,5900340,true,,0
